id,farmer_id,nitrogen,phosphorus,potassium,ph,organic_carbon,test_date,recommendation
1,1,280,25,150,6.5,0.8,2024-01-10,Soil is balanced. Recommended DAP and MOP.
2,2,210,18,120,6.2,0.6,2024-01-15,Low nitrogen. Add urea 50 kg/acre.
3,3,320,30,180,7.0,1.0,2024-01-20,Good soil health. Maintain with organic manure.
4,4,180,15,100,5.8,0.5,2024-01-25,Acidic soil. Apply lime 200 kg/acre.
5,5,250,22,140,6.8,0.7,2024-01-30,Adequate nutrients. Continue regular fertilization.
6,6,300,28,160,6.7,0.9,2024-02-05,Good. Add micronutrients for better yield.
7,7,350,35,200,7.2,1.1,2024-02-10,Excellent soil. Maintain with green manure.
8,8,190,16,110,6.0,0.5,2024-02-15,Deficient in N and P. Apply NPK 50:25:25.
9,9,270,24,145,6.6,0.8,2024-02-20,Satisfactory. Consider split application of fertilizers.
10,10,310,29,170,6.9,0.9,2024-02-25,Good. Recommended for paddy cultivation.
(Continue to 500 records...)